Scheme Name,Net Asset Value,
Axis Strategic Bond Fund - Direct Plan - Quarterly IDCW,10.4481,
Axis Strategic Bond Fund - Regular Plan - Bonus Option,13.256,
Axis Strategic Bond Fund - Regular Plan - Growth Option,23.6628,
Axis Strategic Bond Fund - Regular Plan - Half Yearly IDCW,10.5586,
Axis Strategic Bond Fund - Regular Plan - Quarterly IDCW,10.2886,
,,
Bandhan Mutual Fund,,
,,
BANDHAN Bond Fund - Medium Term - Regular Plan - Bi-Monthly IDCW,12.0813,
BANDHAN Bond Fund - Medium Term - Regular Plan - Daily IDCW,10.2834,
BANDHAN Bond Fund - Medium Term - Regular Plan - Fortnightly IDCW,10.2927,
BANDHAN Bond Fund - Medium Term - Regular Plan - Growth,39.442,
BANDHAN Bond Fund - Medium Term - Regular Plan - IDCW Quarterly,11.0663,
BANDHAN Bond Fund - Medium Term - Regular Plan - Monthly IDCW,10.2463,
BANDHAN Bond Fund - Medium Term - Regular Plan - Periodic IDCW,12.4247,
BANDHAN Bond Fund - Medium Term Plan-Direct Plan-Bi Monthly IDCW,12.4712,
BANDHAN Bond Fund - Medium Term Plan-Direct Plan-Daily IDCW,10.3936,
BANDHAN Bond Fund - Medium Term Plan-Direct Plan-Fortnightly IDCW,10.2942,
BANDHAN Bond Fund - Medium Term Plan-Direct Plan-Growth,42.3297,
BANDHAN Bond Fund - Medium Term Plan-Direct Plan-Monthly IDCW,10.4795,
BANDHAN Bond Fund - Medium Term Plan-Direct Plan-Periodic IDCW,11.0521,
BANDHAN Bond Fund - Medium Term Plan-Direct Plan-Quartely IDCW,11.2352,
,,
Baroda BNP Paribas Mutual Fund,,
,,
Baroda BNP Paribas Medium Duration - Regular Plan - Monthly IDCW - Segregated Portfolio - 1,0,
Baroda BNP Paribas Medium Duration - Regular Plan - Quarterly IDCW - Segregated Portfolio - 1,0,
Baroda BNP Paribas Medium Duration Fund  - Direct Plan - Weekly IDCW - Segregated Portfolio - 1,0,
Baroda BNP Paribas Medium Duration Fund - Defunct Plan - Daily IDCW Option - Segregated Portfolio - 1,0,
Baroda BNP Paribas Medium Duration Fund - Defunct Plan - Growth Option - Segregated Portfolio - 1,0,
Baroda BNP Paribas Medium Duration Fund - Defunct Plan - Monthly IDCW Option - Segregated Portfolio - 1,0,
Baroda BNP Paribas Medium Duration Fund - Defunct Plan - Weekly IDCW Option - Segregated Portfolio - 1,0,
BARODA BNP PARIBAS Medium Duration Fund - Direct Plan - Annual IDCW Option,10.8747,
BARODA BNP PARIBAS Medium Duration Fund - Direct Plan - Calendar Quarterly IDCW Option,10.2359,
Baroda BNP Paribas Medium Duration Fund - Direct Plan - Daily IDCW - Segregated Portfolio - 1,0,
Baroda BNP Paribas Medium Duration Fund - Direct Plan - Growth - Segregated Portfolio - 1,0,
BARODA BNP PARIBAS Medium Duration Fund - Direct Plan - Growth Option,17.2401,
BARODA BNP PARIBAS Medium Duration Fund - Direct Plan - Half yearly IDCW Option,10,
Baroda BNP Paribas Medium Duration Fund - Direct Plan - Monthly IDCW - Segregated Portfolio - 1,0,
BARODA BNP PARIBAS Medium Duration Fund - Direct Plan - Monthly IDCW Option,10.5741,
Baroda BNP Paribas Medium Duration Fund - Direct Plan - Quarterly IDCW - Segregated Portfolio - 1,0,
BARODA BNP PARIBAS Medium Duration Fund - Regular Plan - Annual IDCW Option,10.745,
BARODA BNP PARIBAS Medium Duration Fund - Regular Plan - Calendar Quarterly IDCW Option,10.3712,
Baroda BNP Paribas Medium Duration Fund - Regular Plan - Daily IDCW - Segregated Portfolio - 1,0,
Baroda BNP Paribas Medium Duration Fund - Regular Plan - Growth - Segregated Portfolio - 1,0,
BARODA BNP PARIBAS Medium Duration Fund - Regular Plan - Growth Option,16.2233,
BARODA BNP PARIBAS Medium Duration Fund - Regular Plan - Half Yearly IDCW Option,10.3769,
BARODA BNP PARIBAS Medium Duration Fund - Regular Plan - Monthly IDCW Option,10.2377,
Baroda BNP Paribas Medium Duration Fund - Regular Plan - Weekly IDCW - Segregated Portfolio - 1,0,
,,
DSP Mutual Fund,,
,,
DSP Bond Fund - Direct Plan - Growth,73.2888,
DSP Bond Fund - Direct Plan - IDCW,11.5219,
DSP Bond Fund - Direct Plan - IDCW - Monthly,11.1243,
DSP Bond Fund - Growth,69.5487,
DSP Bond Fund - IDCW,11.4134,
DSP Bond Fund - IDCW - Monthly,11.0298,
,,
Franklin Templeton Mutual Fund,,
,,
Franklin India Income Opportunities Fund - Direct - Growth,26.5759,
Franklin India Income Opportunities Fund - Direct - IDCW,12.4807,
Franklin India Income Opportunities Fund - Growth,24.9338,
Franklin India Income Opportunities Fund - IDCW,11.5593,
Franklin India Income Opportunities Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct Dividend Plan,0,
Franklin India Income Opportunities Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct Growth Plan,0,
Franklin India Income Opportunities Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Dividend Plan,0,
Franklin India Income Opportunities Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Growth Plan,0,
Franklin India Income Opportunities Fund- Segregated Portfolio 2 - 10.90% Vodafone Idea Ltd (02-Sep-2023) - Direct IDCW,0.2576,
Franklin India Income Opportunities Fund- Segregated Portfolio 2 - 10.90% Vodafone Idea Ltd (02-Sep-2023) - IDCW,0.2406,
Franklin India Income Opportunities Fund- Segregated Portfolio 2- 10.90% Vodafone Idea Ltd 02Sep2023-Direct Growth Plan,0.5486,
Franklin India Income Opportunities Fund- Segregated Portfolio 2- 10.90% Vodafone Idea Ltd 02Sep2023-Growth Plan,0.5189,
,,
HDFC Mutual Fund,,
,,
HDFC Medium Term Debt Fund - Fornightly IDCW Option,10.1338,
HDFC Medium Term Debt Fund - Fortnightly IDCW Opt - Direct Plan,10.1355,
HDFC Medium Term Debt Fund - Growth Option,48.0116,
HDFC Medium Term Debt Fund - Growth Option - Direct Plan,51.3483,
HDFC Medium Term Debt Fund - IDCW Option,17.3262,
HDFC Medium Term Debt Fund - IDCW Option - Direct Plan,18.3276,
,,
HSBC Mutual Fund,,
,,
HSBC Medium Duration Fund - Direct Annual IDCW,11.7457,
HSBC Medium Duration Fund - Direct Growth,18.6542,
HSBC Medium Duration Fund - Direct IDCW,11.5373,
HSBC Medium Duration Fund - Regular Annual IDCW,10.9032,
HSBC Medium Duration Fund - Regular Growth,17.3518,
HSBC Medium Duration Fund - Regular IDCW,10.6813,
,,
ICICI Prudential Mutual Fund,,
,,
ICICI Prudential Medium Term Bond Fund - Annual IDCW,12.9357,
ICICI Prudential Medium Term Bond Fund - Bonus,15.0013,
ICICI Prudential Medium Term Bond Fund - Direct Plan - Growth,41.1927,
ICICI Prudential Medium Term Bond Fund - Direct Plan - Half Yearly IDCW,11.1332,
ICICI Prudential Medium Term Bond Fund - Direct Plan - Quarterly IDCW,11.1779,
ICICI Prudential Medium Term Bond Fund - Direct Plan Bonus,16.1701,
ICICI Prudential Medium Term Bond Fund - Growth,38.037,
ICICI Prudential Medium Term Bond Fund - Half Yearly IDCW,10.6331,
ICICI Prudential Medium Term Bond Fund - Quarterly IDCW,10.6226,
ICICI Prudential Medium Term Bond Fund -Direct Plan - Annual IDCW,14.3488,
ICICI Prudential Medium Term Bond Fund Plan A - Weekly Dividend,10.0458,
ICICI Prudential Medium Term Bond Fund Plan B - Half Yearly Dividend,10.8612,
ICICI Prudential Medium Term Bond Fund Plan B - Quarterly Dividend,10.6002,
ICICI Prudential Medium Term Bond Fund Plan C - Quarterly Dividend,10.4491,
ICICI Prudential Medium Term Bond Fund-Plan B-Growth,32.0584,
,,
Invesco Mutual Fund,,
,,
Invesco India Medium Duration Fund - Direct - Discretionary IDCW (Payout/Reinvestment),1082.9118,
Invesco India Medium Duration Fund - Direct - Growth,1082.8481,
Invesco India Medium Duration Fund - Direct - Quarterly IDCW (Payout / Reinvestment)),1057.4324,
Invesco India Medium Duration Fund - Regular - Discretionary IDCW(Payout / Reinvestment)),1064.4565,
Invesco India Medium Duration Fund - Regular - Growth,1064.457,
Invesco India Medium Duration Fund - Regular - Quarterly IDCW (Payout / Reinvestment),1045.8149,
,,
Kotak Mahindra Mutual Fund,,
,,
Kotak Medium Term Fund - Direct - Standard Income Distribution cum capital withdrawal option,20.8974,
Kotak Medium Term Fund - Direct Growth,20.8956,
Kotak Medium Term Fund - Growth,19.1926,
Kotak Medium Term Fund - Standard Income Distribution cum capital withdrawal option,11.7801,
,,
Nippon India Mutual Fund,,
,,
NIPPON INDIA STRATEGIC DEBT FUND -  SEGREGATED PORTFOLIO 2 - DIRECT Plan - IDCW Option,0,
NIPPON INDIA STRATEGIC DEBT FUND -  SEGREGATED PORTFOLIO 2 - DIRECT Plan - QUARTERLY IDCW Option,0,
NIPPON INDIA STRATEGIC DEBT FUND -  SEGREGATED PORTFOLIO 2 - IDCW Option,0,
NIPPON INDIA STRATEGIC DEBT FUND -  SEGREGATED PORTFOLIO 2 - QUARTERLY IDCW Option,0,
Nippon India Strategic Debt Fund - Bonus Option,10.5217,
Nippon India Strategic Debt Fund - Direct Plan - Bonus Option,14.1679,
Nippon India Strategic Debt Fund - Direct Plan - Growth Option,14.1646,
NIPPON INDIA STRATEGIC DEBT FUND - DIRECT Plan - IDCW Option,11.9474,
NIPPON INDIA STRATEGIC DEBT FUND - DIRECT Plan - QUARTERLY IDCW Option,10.0859,
Nippon India Strategic Debt Fund - Growth Option,13.2323,
NIPPON INDIA STRATEGIC DEBT FUND - IDCW Option,11.323,
NIPPON INDIA STRATEGIC DEBT FUND - QUARTERLY IDCW Option,9.7599,
Nippon India Strategic Debt Fund - Segregated Portfolio 1 - Bonus Option,0.1794,
Nippon India Strategic Debt Fund - Segregated Portfolio 1 - Direct Plan - Bonus Option,0.1888,
Nippon India Strategic Debt Fund - Segregated Portfolio 1 - Direct Plan - Growth Option,0.1886,
NIPPON INDIA STRATEGIC DEBT FUND - SEGREGATED PORTFOLIO 1 - Direct Plan - IDCW Option,0.1591,
NIPPON INDIA STRATEGIC DEBT FUND - SEGREGATED PORTFOLIO 1 - Direct Plan - QUARTERLY IDCW Option,0.1343,
Nippon India Strategic Debt Fund - Segregated Portfolio 1 - Growth Option,0.1794,
NIPPON INDIA STRATEGIC DEBT FUND - SEGREGATED PORTFOLIO 1 - IDCW Option,0.1535,
NIPPON INDIA STRATEGIC DEBT FUND - SEGREGATED PORTFOLIO 1 - QUARTERLY IDCW Option,0.1323,
Nippon India Strategic Debt Fund - Segregated Portfolio 2 - Bonus Option,0,
Nippon India Strategic Debt Fund - Segregated Portfolio 2 - Direct Plan - Bonus Option,0,
Nippon India Strategic Debt Fund - Segregated Portfolio 2 - Direct Plan - Growth Option,0,
Nippon India Strategic Debt Fund - Segregated Portfolio 2 - Growth Option,0,
,,
SBI Mutual Fund,,
,,
SBI MAGNUM MEDIUM DURATION FUND - DIRECT PLAN - GROWTH,46.5474,
SBI Magnum Medium Duration Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),18.0938,
SBI MAGNUM MEDIUM DURATION FUND - REGULAR PLAN - GROWTH,43.5568,
SBI Magnum Medium Duration Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),16.8835,
,,
Sundaram Mutual Fund,,
,,
Sundaram Medium Term Bond Fund Direct Plan - Annual Income Distribution cum Capital Withdrawal (IDCW),13.7802,
Sundaram Medium Term Bond Fund Direct Plan - Growth,66.8436,
Sundaram Medium Term Bond Fund Direct Plan - Quarterly Income Distribution cum Capital Withdrawal (IDCW),24.4269,
Sundaram Medium Term Bond Fund Institutional Plan - Growth,68.9542,
Sundaram Medium Term Bond Fund Regular Plan - Annual Income Distribution cum Capital Withdrawal (IDCW),12.4011,
Sundaram Medium Term Bond Fund Regular Plan - Bonus,20.8403,
Sundaram Medium Term Bond Fund Regular Plan - Growth,61.0183,
Sundaram Medium Term Bond Fund Regular Plan- Half Yearly Income Distribution cum Capital Withdrawal (IDCW),12.7916,
Sundaram Medium Term Bond Fund Regular Plan- Quarterly Income Distribution cum Capital Withdrawal (IDCW),12.5286,
,,
Tata Mutual Fund,,
,,
Tata Medium Term Fund -Regular Plan - Growth Option,29.7872,
Tata Medium Term Fund- Direct Plan - Payout of IDCW Option,15.2302,
Tata Medium Term Fund- Direct Plan- Growth Option,32.7645,
Tata Medium Term Fund- Regular Plan - Payout of IDCW option,13.5481,
,,
Union Mutual Fund,,
,,
Union Medium Duration Fund - Direct Plan -  Growth Option,11.169,
Union Medium Duration Fund - Direct Plan - IDCW Option,11.169,
Union Medium Duration Fund - Regular Plan -  Growth Option,11.0701,
Union Medium Duration Fund - Regular Plan - IDCW Option,11.0701,
,,
UTI Mutual Fund,,
,,
UTI Medium Term Fund - Direct Plan - Annual IDCW,12.7383,
UTI Medium Term Fund - Direct Plan - Flexi IDCW,12.9271,
UTI Medium Term Fund - Direct Plan - Growth Option,16.6248,
UTI Medium Term Fund - Direct Plan - Half-Yearly IDCW,12.4525,
UTI Medium Term Fund - Direct Plan - Monthly IDCW,10.4623,
UTI Medium Term Fund - Direct Plan - Quarterly IDCW,12.44,
UTI Medium Term Fund - Regular Plan - Annual IDCW,11.9592,
UTI Medium Term Fund - Regular Plan - Flexi IDCW,11.614,
UTI Medium Term Fund - Regular Plan - Growth Option,15.7233,
UTI Medium Term Fund - Regular Plan - Half-Yearly IDCW,11.6643,
UTI Medium Term Fund - Regular Plan - Monthly IDCW,11.3393,
UTI Medium Term Fund - Regular Plan - Quarterly IDCW,12.1041,
UTI - Medium Term Fund (Segregated - 06032020) - Direct Plan - Annual Dividend Option,0,
UTI - Medium Term Fund (Segregated - 06032020) - Direct Plan - Flexi Dividend Option,0,
UTI - Medium Term Fund (Segregated - 06032020) - Direct Plan - Growth Option,0,
UTI - Medium Term Fund (Segregated - 06032020) - Direct Plan - Half Yearly Dividend Option,0,
UTI - Medium Term Fund (Segregated - 06032020) - Direct Plan - Monthly Dividend Option,0,
UTI - Medium Term Fund (Segregated - 06032020) - Direct Plan - Quarterly Dividend Option,0,
UTI - Medium Term Fund (Segregated - 06032020) - Regular Plan - Annual Dividend Option,0,
UTI - Medium Term Fund (Segregated - 06032020) - Regular Plan - Flexi Dividend Option,0,
UTI - Medium Term Fund (Segregated - 06032020) - Regular Plan - Growth Option,0,
UTI - Medium Term Fund (Segregated - 06032020) - Regular Plan - Half Yearly Dividend Option,0,
UTI - Medium Term Fund (Segregated - 06032020) - Regular Plan - Monthly Dividend Option,0,
UTI - Medium Term Fund (Segregated - 06032020) - Regular Plan - Quarterly Dividend Option,0,
UTI - Medium Term Fund (Segregated - 07072020) - Direct  Plan - Monthly Dividend Option,0,
UTI - Medium Term Fund (Segregated - 07072020) - Direct Plan - Annual Dividend Option,0,
UTI - Medium Term Fund (Segregated - 07072020) - Direct Plan - Flexi Dividend Option,0,
UTI - Medium Term Fund (Segregated - 07072020) - Direct Plan - Growth Option,0,
UTI - Medium Term Fund (Segregated - 07072020) - Direct Plan - Half Yearly Dividend Option,0,
UTI - Medium Term Fund (Segregated - 07072020) - Direct Plan - Quarterly Dividend Option,0,
UTI - Medium Term Fund (Segregated - 07072020) - Regular Plan - Annual Dividend Option,0,
UTI - Medium Term Fund (Segregated - 07072020) - Regular Plan - Flexi Dividend Option,0,
UTI - Medium Term Fund (Segregated - 07072020) - Regular Plan - Growth Option,0,
UTI - Medium Term Fund (Segregated - 07072020) - Regular Plan - Half Yearly Dividend Option,0,
UTI - Medium Term Fund (Segregated - 07072020) - Regular Plan - Monthly Dividend Option,0,
UTI - Medium Term Fund (Segregated - 07072020) - Regular Plan - Quarterly Dividend Option,0,
UTI - Medium Term Fund (Segregated - 17022020) - Direct Plan - Growth Option,0.3663,
UTI - Medium Term Fund (Segregated - 17022020) - Regular Plan - Growth Option,0.3488,
UTI Medium Term Fund ( Segregated - 17022020 ) - Direct Plan - Annual IDCW,0.2973,
UTI Medium Term Fund ( Segregated - 17022020 ) - Direct Plan - Flexi IDCW,0.2864,
UTI Medium Term Fund ( Segregated - 17022020 ) - Direct Plan - Half-Yearly IDCW,0.2895,
UTI Medium Term Fund ( Segregated - 17022020 ) - Direct Plan - Monthly IDCW,0.2595,
UTI Medium Term Fund ( Segregated - 17022020 ) - Direct Plan - Quarterly IDCW,0.2867,
UTI Medium Term Fund ( Segregated - 17022020 ) - Regular Plan - Annual IDCW,0.2818,
UTI Medium Term Fund ( Segregated - 17022020 ) - Regular Plan - Flexi IDCW,0.2488,
UTI Medium Term Fund ( Segregated - 17022020 ) - Regular Plan - Half-Yearly IDCW,0.2764,
UTI Medium Term Fund ( Segregated - 17022020 ) - Regular Plan - Monthly IDCW,0.2515,
UTI Medium Term Fund ( Segregated - 17022020 ) - Regular Plan - Quarterly IDCW,0.2721,
,,
Open Ended Schemes(Debt Scheme - Medium to Long Duration Fund),,
,,
Aditya Birla Sun Life Mutual Fund,,
,,
Aditya Birla Sun Life Income Fund (Discipline Advantage Plan),27.2217,
Aditya Birla Sun Life Income Fund - Direct - IDCW,13.1733,
Aditya Birla Sun Life Income Fund - Direct - Quarterly IDCW,14.1703,
Aditya Birla Sun Life Income Fund - Growth - Direct Plan,115.2673,
Aditya Birla Sun Life Income Fund - Growth - Regular Plan,107.9016,
Aditya Birla Sun Life Income Fund - Regular - IDCW,12.4778,
Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,13.325,
,,
Bandhan Mutual Fund,,
,,
BANDHAN Bond Fund - Income Plan - Regular Plan - Annual IDCW,11.6212,
BANDHAN Bond Fund - Income Plan - Regular Plan - Growth,56.7336,
BANDHAN Bond Fund - Income Plan - Regular Plan - Half-yearly IDCW,11.8177,
BANDHAN Bond Fund - Income Plan - Regular Plan - Periodic IDCW,12.1764,
BANDHAN Bond Fund - Income Plan - Regular Plan - Quarterly IDCW,12.0863,
BANDHAN Bond Fund - Income Plan-Direct Plan-Annual IDCW,15.8916,
BANDHAN Bond Fund - Income Plan-Direct Plan-Growth,61.1892,
BANDHAN Bond Fund - Income Plan-Direct Plan-Half Yearly IDCW,12.6956,
BANDHAN Bond Fund - Income Plan-Direct Plan-Periodic IDCW,14.8816,
BANDHAN Bond Fund - Income Plan-Direct Plan-Quarterly IDCW,12.6405,
BANDHAN Bond Fund - Short Term - Regular Plan - Growth,48.6973,
BANDHAN Bond Fund - Short Term - Regular Plan - Monthly IDCW,10.3693,
,,
Bank of India Mutual Fund,,
,,
BANK OF INDIA Conservative Hybrid  Fund-Direct Plan-Quarterly IDCW,14.7684,
BANK OF INDIA Conservative Hybrid  Fund-ECO Plan-Quarterly IDCW,10.3674,
BANK OF INDIA Conservative Hybrid Fund Fund-Direct Plan-Growth,30.0403,
BANK OF INDIA Conservative Hybrid Fund-Direct Plan-Annual IDCW,13.6957,
BANK OF INDIA Conservative Hybrid Fund-Direct Plan-Monthly IDCW,13.3895,
BANK OF INDIA Conservative Hybrid Fund-ECO Plan-Growth,29.3046,
BANK OF INDIA Conservative Hybrid Fund-ECO Plan-Monthly IDCW,22.1939,
BANK OF INDIA Conservative Hybrid Fund-Regular Plan-Annual IDCW,13.8603,
BANK OF INDIA Conservative Hybrid Fund-Regular Plan-Growth,28.5531,
BANK OF INDIA Conservative Hybrid Fund-Regular Plan-Monthly IDCW,14.7003,
BANK OF INDIA Conservative Hybrid Fund-Regular Plan-Quarterly IDCW,15.2362,
,,
Canara Robeco Mutual Fund,,
,,
CANARA ROBECO INCOME FUND - DIRECT PLAN - GROWTH OPTION,53.143,
CANARA ROBECO INCOME FUND - DIRECT PLAN - QUARTERLY IDCW (Payout/Reinvestment),16.3611,
CANARA ROBECO INCOME FUND - REGULAR PLAN - GROWTH OPTION,48.5651,
CANARA ROBECO INCOME FUND - REGULAR PLAN - QUARTERLY IDCW (Payout/Reinvestment),14.7202,
,,
HDFC Mutual Fund,,
,,
HDFC Income Fund - Growth Option,49.8511,
HDFC Income Fund - Growth Option - Direct Plan,54.4265,
HDFC Income Fund - Normal IDCW - Direct Plan,17.2119,
HDFC Income Fund - Normal IDCW Option,15.721,
HDFC Income Fund - Quarterly IDCW Option,11.0997,
HDFC Income Fund - Quarterly IDCW- Direct Plan,12.3696,
,,
HSBC Mutual Fund,,
,,
HSBC Medium to Long Duration Fund - Direct Growth,39.8118,
HSBC Medium to Long Duration Fund - Direct Quarterly IDCW,10.7012,
HSBC Medium to Long Duration Fund - Regular Growth,36.6072,
HSBC Medium to Long Duration Fund - Regular Quarterly IDCW,10.7531,
,,
ICICI Prudential Mutual Fund,,
,,
ICICI Prudential Bond Fund - Bonus,12.4602,
ICICI Prudential Bond Fund - Direct Plan - Growth,35.689,
ICICI Prudential Bond Fund - Direct Plan - Half Yearly IDCW,10.8108,
ICICI Prudential Bond Fund - Direct Plan - IDCW Monthly,11.575,
ICICI Prudential Bond Fund - Direct Plan - IDCW Quarterly,11.8829,
ICICI Prudential Bond Fund - Growth,33.9957,
ICICI Prudential Bond Fund - Half Yearly IDCW,11.1485,
ICICI Prudential Bond Fund - IDCW Monthly,11.3653,
ICICI Prudential Bond Fund - IDCW Quarterly,11.5105,
ICICI Prudential Bond Fund- Institutional Growth,25.0654,
ICICI Prudential Bond Fund- Institutional Monthly Dividend,10.6444,
ICICI Prudential Bond Fund- Institutional Quarterly Dividend,11.4294,
,,
JM Financial Mutual Fund,,
,,
JM Medium to Long Duration Fund (Direct) - Bonus Option - Principal Units,25.1774,
JM Medium to Long Duration Fund (Direct) - Growth Option,58.6482,
JM Medium to Long Duration Fund (Direct) - Quarterly IDCW,20.7237,
JM Medium to Long Duration Fund (Regular) - Growth Option,53.2169,
JM Medium to Long Duration Fund (Regular) - Quarterly IDCW,18.094,
JM Medium to Long Duration Fund (Regular) - Bonus Option- Principal Units,21.7725,
,,
Kotak Mahindra Mutual Fund,,
,,
Kotak Bond Fund - Direct Plan - Standard IDCW option,24.0687,
Kotak Bond Fund - Growth - Direct,72.3147,
Kotak Bond Fund - Regular Plan - Standard IDCW Option,40.3378,
Kotak Bond Fund - Regular Plan Growth,65.8397,
Kotak Bond-Deposit-Dividend,13.6554,
Kotak Bond-Deposit-Growth,42.9354,
,,
LIC Mutual Fund,,
,,
LIC MF Bond Fund-Direct Plan-Growth,65.248,
LIC MF Bond Fund-Direct Plan-IDCW,15.7648,
LIC MF Bond Fund-Regular Plan-Growth,61.8568,
LIC MF Bond Fund-Regular Plan-IDCW,13.5587,
,,
Nippon India Mutual Fund,,
,,
NIPPON INDIA INCOME FUND - ANNUAL IDCW Option,13.0197,
NIPPON INDIA INCOME FUND - Direct Plan - ANNUAL IDCW Option,14.2777,
NIPPON INDIA INCOME FUND - Direct Plan - HALF YEARLY IDCW Option,13.4993,
NIPPON INDIA INCOME FUND - Direct Plan - MONTHLY IDCW Option,11.4482,
NIPPON INDIA INCOME FUND - Direct Plan - QUARTERLY IDCW Option,13.8534,
Nippon India Income Fund - Direct Plan Growth Plan - Growth Option,84.7648,
Nippon India Income Fund - Direct Plan Growth Plan-Bonus Option,24.2224,
Nippon India Income Fund - Growth Plan Bonus Option,22.1912,
Nippon India Income Fund - Growth Plan Growth Option,77.1888,
NIPPON INDIA INCOME FUND - HALF YEARLY IDCW Option,12.5535,
NIPPON INDIA INCOME FUND - MONTHLY IDCW Option,10.7931,
NIPPON INDIA INCOME FUND - QUARTERLY IDCW Option,13.1531,
,,
SBI Mutual Fund,,
,,
SBI Magnum Income Fund - Direct Plan - Half Yearly - Income Distribution cum Capital Withdrawal Option (IDCW),18.2592,
SBI Magnum Income Fund - Direct Plan - Quarterly Income Distribution cum Capital Withdrawal Option (IDCW),18.693,
SBI Magnum Income Fund - Regular Plan - Half Yearly - Income Distribution cum Capital Withdrawal Option (IDCW),15.8304,
SBI Magnum Income Fund - Regular Plan - Quarterly Income Distribution cum Capital Withdrawal Option (IDCW),17.0451,
SBI Magnum Income Fund-DIRECT PLAN - Bonus,39.0558,
SBI Magnum Income Fund-DIRECT PLAN -Growth,64.3553,
SBI Magnum Income Fund-REGULAR PLAN-Bonus,36.673,
SBI Magnum Income Fund-REGULAR PLAN-Growth,60.5255,
,,
Tata Mutual Fund,,
,,
Tata Income Fund - Direct Plan - Growth Option,72.1992,
Tata Income Fund -Regular Plan - Growth Option,66.614,
TATA Income Fund Direct Plan - Periodic Payout of Income Distribution cum capital withdrawal option,41.0962,
Tata Income Fund- Regular Plan - Periodic Payout of IDCW Option,38.6487,
TATA Income Fund-Direct Plan - Half Yearly Payout of IDCW Option,16.8454,
Tata Income Fund-Regular Plan - Half Yearly Payout of IDCW Option,15.3414,
,,
UTI Mutual Fund,,
,,
UTI Bond Fund - Direct Plan - Annual IDCW,12.0858,
UTI Bond Fund - Direct Plan - Flexi IDCW,13.2859,
UTI Bond Fund - Direct Plan - Half-Yearly IDCW,12.7865,
UTI Bond Fund - Direct Plan - Quarterly IDCW,21.5509,
UTI Bond Fund - Regular Plan - Annual IDCW,12.0312,
UTI Bond Fund - Regular Plan - Flexi IDCW,12.2902,
UTI Bond Fund - Regular Plan - Half-Yearly IDCW,12.4874,
UTI Bond Fund - Regular Plan - Quarterly IDCW,16.2338,
UTI Bond Fund- Regular Plan - Growth,63.2067,
UTI Bond Fund-Growth - Direct,68.289,
,,
Open Ended Schemes(Debt Scheme - Money Market Fund),,
,,
Aditya Birla Sun Life Mutual Fund,,
,,
Aditya Birla Sun Life Money Manager Fund - Daily IDCW,100.0813,
Aditya Birla Sun Life Money Manager Fund - Direct - daily IDCW,100.0813,
Aditya Birla Sun Life Money Manager Fund - Direct - weekly IDCW,100.2073,
Aditya Birla Sun Life Money Manager Fund - Growth,315.3719,
Aditya Birla Sun Life Money Manager Fund - Growth - Direct Plan,318.5964,
Aditya Birla Sun Life Money Manager Fund - Retail - Daily IDCW,100.0813,
Aditya Birla Sun Life Money Manager Fund - RETAIL - WEEKLY IDCW,103.8579,
Aditya Birla Sun Life Money Manager Fund - Retail Growth,388.7005,
Aditya Birla Sun Life Money Manager Fund - WEEKLY IDCW,100.2054,
,,
Axis Mutual Fund,,
,,
Axis Money Market Fund - Direct Plan - Annual IDCW,1143.9366,
Axis Money Market Fund - Direct Plan - Daily IDCW,1005.6131,
Axis Money Market Fund - Direct Plan - Growth Option,1227.0125,
Axis Money Market Fund - Direct Plan - Monthly IDCW,1009.0568,
Axis Money Market Fund - Direct Plan - Quarterly IDCW,1066.2344,
Axis Money Market Fund - Regular Plan - Annual IDCW,1137.1748,
Axis Money Market Fund - Regular Plan - Daily IDCW,1005.6127,
Axis Money Market Fund - Regular Plan - Growth Option,1220.1283,
Axis Money Market Fund - Regular Plan - Monthly IDCW,1007.1276,
Axis Money Market Fund - Regular Plan - Quarterly IDCW,1059.312,
,,
Bandhan Mutual Fund,,
,,
BANDHAN Money Manager Fund - Regular Plan - Monthly IDCW,10.2605,
BANDHAN Money Manager Fund - Regular Plan - Growth,34.7114,
BANDHAN Money Manager Fund - Regular Plan - Daily IDCW,10.0994,
BANDHAN Money Manager Fund - Regular Plan - Periodic IDCW,11.3837,
BANDHAN Money Manager Fund - Regular Plan - Weekly IDCW,10.129,
BANDHAN Money Manager Fund -Direct Plan-Daily IDCW,10.0994,
BANDHAN Money Manager Fund -Direct Plan-Growth,37.1406,
BANDHAN Money Manager Fund -Direct Plan-Monthly IDCW,10.1977,
BANDHAN Money Manager Fund -Direct Plan-Periodic IDCW,13.6067,
BANDHAN Money Manager Fund -Direct Plan-Weekly IDCW,10.1076,
,,
Baroda BNP Paribas Mutual Fund,,
,,
Baroda BNP Paribas Money Market Fund - Direct Plan - Monthly IDCW,1000,
Baroda BNP Paribas Money Market Fund - Direct Plan-Daily IDCW,1000.9381,
